2024-04-29 09:59:23.317 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-29 09:59:23.372 [main] INFO  c.project.shopapp.ShopappApplication - Starting ShopappApplication using Java 20.0.2 with PID 7624 (D:\Code\shopapp\target\classes started by Tan Dat in D:\Code\shopapp)
2024-04-29 09:59:23.374 [main] INFO  c.project.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-29 09:59:24.329 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-29 09:59:24.401 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 7 JPA repository interfaces.
2024-04-29 09:59:25.224 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http)
2024-04-29 09:59:25.240 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2024-04-29 09:59:25.243 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-29 09:59:25.243 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-29 09:59:25.322 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-29 09:59:25.323 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1892 ms
2024-04-29 09:59:25.500 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-29 09:59:25.594 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-04-29 09:59:25.641 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-29 09:59:25.922 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-29 09:59:25.950 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-29 09:59:26.121 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4c65d8e3
2024-04-29 09:59:26.123 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-29 09:59:26.176 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.5.0 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-04-29 09:59:27.337 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-29 09:59:27.339 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-29 09:59:27.829 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-29 09:59:27.930 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-29 09:59:28.991 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@210e7a5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2d34a88a, org.springframework.security.web.context.SecurityContextHolderFilter@7f657888, org.springframework.security.web.header.HeaderWriterFilter@328c6f65, org.springframework.web.filter.CorsFilter@214a7560, org.springframework.security.web.authentication.logout.LogoutFilter@18b378a2, com.project.shopapp.filters.JwtTokenFilter@1512efe9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7bca3747, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7be7236d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6878e49e, org.springframework.security.web.access.ExceptionTranslationFilter@61ab2bcc, org.springframework.security.web.access.intercept.AuthorizationFilter@7f6a0c29]
2024-04-29 09:59:29.330 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-04-29 09:59:29.358 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path ''
2024-04-29 09:59:29.369 [main] INFO  c.project.shopapp.ShopappApplication - Started ShopappApplication in 6.462 seconds (process running for 7.18)
2024-04-29 09:59:39.198 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-29 09:59:39.198 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-29 09:59:39.199 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-04-29 09:59:39.253 [http-nio-8088-exec-1] INFO  c.p.s.controllers.ProductController - keyword : sleek, categoryId : 2, limit : 10 and page : 0
2024-04-29 09:59:49.508 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-29 09:59:49.510 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-29 09:59:49.519 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
